0	"Author's note: These insights are derived from roundtable discussions held in April and May through the U.S. Chamber of Commerce Foundation’s Capital Equipment Coalition North America  initiative — a multi-stakeholder effort to reduce the environmental footprint of durable goods through information sharing and collaboration.As more companies explore and implement circular business models, such as lease/rental models, pay for performance and ""Everything-as-a-Service"" (XaaS), they are discovering a range of unexpected challenges and opportunities for how circularity is affecting all aspects of their traditional business models. "
1	This year, the U.S. Chamber of Commerce Foundation’s Capital Equipment Coalition North America  brought together dozens of leaders from 23 companies to compare notes on what they are seeing and learn from each other on successfully navigating the transition to the circular economy. 
2	Here are a few key themes from the discussions. 
3	Theme 1: Customers are interested in circular offerings for both financial and sustainability reasons, but the relative importance of each varies based on size and geography.  
4	In terms of what is bringing customers to the table for circular product offerings, companies reported that their customers are interested in both the financial and sustainability benefits of circularity, but that these are prioritized differently depending on how large the company is and where they are located. 
5	Smaller companies were seen as more interested in the financial savings that circular offerings can provide, perhaps because they are less likely to have sustainability or circularity goals that stakeholders are holding them accountable to meet. 
6	In contrast, larger companies, particularly Fortune 500 companies with climate-focused shareholders, emphasized the importance of sustainability and greenhouse gas (GHG) emissions reductions. 
7	These companies are looking to circular solutions to help them meet these goals, although it was noted that the ability to measure and report on these impacts is essential to supporting this value proposition. 
8	Geography was also a factor in how companies prioritize and value circularity. 
9	European Union regulation is driving companies in Europe to ask for more circular offerings and, in some cases, require remanufactured or refurbished goods in Requests for Proposal. 
10	In contrast, companies in the U.S. may not be as aware of or interested in circularity, and many are in the early stages of exploring XaaS models — which allow the original manufacturers to maintain product ownership and lifecycle responsibility — or other circular offerings. 
11	Theme 2: Companies are encountering a range of challenges as they shift from selling traditional linear models to providing customers with new circular offerings. 
12	Theme 3: There are at least eight potential elements of value propositions for circular offerings.  
13	What are customers finding most compelling in considering circular products and services? 
14	Companies reported these seven aspects of circular offerings were of greatest interest to the customers they spoke to, with each company bringing their own prioritization of these elements to the relationship. 
