0	This report from Verdantix provides insights around the increasing grid interactivity of facilities as a key enabler for decarbonization as more renewables are onboarded, and electric vehicles (EVs) becomes more widespread. 
1	Microgrids form a vital part of the grid-interactive ecosystem, enabling the site-level management of distributed energy resources (DERs) and communication with the grid to optimize energy flows for cost-cutting, decarbonization and energy resiliency. 
2	Download to read how Schneider Electric’s offerings and services for microgrid control and management can support customers adapting to a rapidly changing energy landscape.
3	"This is the time of year to look back and to look ahead.This essay focuses on looking back at my predictions for 2022, published in the Jan. 7 Liquid Assets column, ""The year ahead for water: The Roaring '20s and creative destruction."" "
4	I believe I was mostly right. 
5	"(Feel free to challenge this when I post to GreenBiz and LinkedIn!)  The theme for that article was that we are in the Roaring '20s for innovation and witnessing the ""creative destruction"" of how we extract water, transport it and treat it. "
6	I proposed that technology innovation would be a primary driver for creative destruction of existing business models, as the global economy emerged from the COVID-19 pandemic. 
7	First a recap about the concept of creative destruction. 
8	"As I mentioned last year, in the early 20th century, economist Joseph Schumpeter described the dynamic pattern in which innovative entrepreneurs unseat established firms through a process he called ""creative destruction."" "
9	"According to Schumpeter, and discussed in detail in ""The Prophet of Innovation: Joseph Schumpeter and Creative Destruction,"" the entrepreneur not only creates invention but also creates competition from a new commodity, new technology, new source of supply and a new type of organization. "
10	"This innovation propels the economy with ""gales of creative destruction,"" which ""incessantly revolutionizes the economic structure from within, incessantly destroying the old one, incessantly creating a new one.""My overarching view of 2022: Cracks are beginning to show, primarily the result of chronic problems that have long plagued the water sector — aging infrastructure, underfunding and grossly outdated public policies. "
11	These systemic failures in the water sector in many cases were amplified by the impacts of climate .  
12	"These systemic failures in the water sector and climate change led to the ""bite"" —creative destruction in play — that water challenges posed to economic development, business growth, ecosystems and civil society in 2022. "
13	That bite manifested itself in climate-induced events such as the aridification of the American West, which is resulting in the demise of the Colorado River Basin and the potential threat to hydropower production; the disruption of river commerce in the major rivers such as the Mississippi in the U.S., and the Danube, the Rhine and the Po in Europe; along with the catastrophic flooding  in Pakistan. 
14	All of these events had and continue to have quantifiable economic impacts on local and national economies as covered in these news stories. 
15	Other significant factors contributed to the disruption, including: What do these trends mean for 2023? 
16	My January prediction: Water technology innovation scales and becomes the catalyst to drastically change public policy.  
17	More to follow.
18	Broxel, a leading FinTech company in Latin America, released its first emissions report as part of the company’s commitment to become carbon neutral. 
19	The inaugural report includes Scope 1, 2, and 3 greenhouse gas (GHG) emissions, and outlines the company’s plan to meet climate targets.See related article: JPMorgan Sets 2030 Emissions Targets for Polluting Industries “This emissions report is the first step in our road to become carbon neutral, and represents a key milestone in our ESG strategy. It also reflects our climate commitment and our principles as an organization,” said Gustavo Gutiérrez, CEO and founder of Broxel.The emissions report, available at https://broxel.com/neutral/, highlights the following: This inaugural emissions report places 2021 as the baseline, to enable measurable and conscious actions to mitigate carbon emissions and to become the first carbon-neutral FinTech company of Latin America.Source: PRNewswire
20	Mary Yap has always been a stargazer. 
21	As a child growing up in the Seattle area, she would regularly sneak out of her room late at night, plant herself on the bathroom floor and stare up at the stars through the skylight, filled with wonder.Her contemplative nature, along with an urgent desire to make change, eventually led Yap to entrepreneurship. 
22	Earlier this year, she cofounded Lithos Carbon , along with two Earth Sciences professors. 
23	The startup works with farmers to permanently remove CO2 from the atmosphere and enhance crop yields by spreading basalt dust — waste created when quarries crush basalt rock for other uses — onto farmlands.Lithos — the Greek word for stone — uses proprietary software to custom-deploy the basalt based on variables such as soil chemistry and crop nutrition. 
24	It also measures how much CO2 is removed and sells carbon credits to companies, providing a share of the payment to the farmers it works with. 
25	Lithos, which says it has captured more than 2,000 tons of carbon in 2022, is selling the credits through Frontier , a $1 billion advance market commitment led by Stripe, Alphabet, Shopify, Meta and McKinsey.Based on a natural process called rock weathering, Lithos’ technology was invented by Yap’s cofounders, Noah Planavsky, associate professor of Earth and Planetary Sciences (and her mentor) at Yale, and Chris Reinhard, associate professor of Earth and Atmospheric Sciences at Georgia Tech. 
26	The startup’s use of science and technology to create a cost-effective and scalable climate solution quickly caught the attention of investors. 
