,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
0,0.7151573,0.07170451,0.423605,0.3594671,0.43477038,0.13551769,0.16134752,0.22608483,0.8499318,0.103422105,0.15800476,0.7223047,0.0046010274,0.8274978,0.8938944,0.9814693,0.55674726,0.117320985,0.04403695,0.50539654,0.4071014,0.8263883,0.35613367,0.046869874,0.27278444,0.27417505,0.8365873,0.019715302,0.9571551,0.3809771,0.84539485,0.5315882,0.8807078,0.13348424,0.03910978
1,0.028943837,0.008629023,0.18679501,0.20427714,0.4548939,0.54621017,0.6779383,0.87271845,0.015862942,0.03388688,0.044668302,0.102082215,0.0023469813,0.15234555,0.0030276217,0.003958002,0.06824139,0.08760284,0.01848596,0.26734543,0.29095098,0.019724013,0.09120969,0.005567841,0.16016756,0.31295386,0.19478314,0.002306413,0.0019863653,0.004808208,0.022979928,0.0010662555,0.117227316,0.20299736,0.13771296
2,0.006063945,0.061903648,0.16901001,0.17125288,0.3647612,0.2381965,0.021658344,0.011208863,0.0106574865,0.03580221,0.09318562,0.088262536,0.0018017928,0.77648824,0.0044009294,0.64174086,0.8339281,0.27748093,0.054330114,0.3074904,0.2602866,0.21331096,0.17538567,0.0077530784,0.4140914,0.33833423,0.19642995,0.0021154738,0.0014671658,0.0037487226,0.018394306,0.67591465,0.02297298,0.24357204,0.038747314
3,0.604199,0.17028181,0.1786826,0.26061958,0.35058212,0.4786536,0.019830938,0.7799994,0.0133366445,0.2244562,0.42152044,0.10830973,0.0026609215,0.42942613,0.010474471,0.010785798,0.2993644,0.5136445,0.01907273,0.28557423,0.24770965,0.008551419,0.15066747,0.7064602,0.153318,0.33045527,0.18841541,0.00419758,0.0010320365,0.010610911,0.019354187,0.0011862738,0.026922347,0.11467049,0.75228
4,0.092581786,0.016412014,0.34452054,0.26883644,0.34045634,0.14684017,0.046473663,0.015593656,0.07489861,0.14235477,0.18681754,0.355133,0.002612788,0.67751485,0.013719242,0.9549816,0.0793201,0.13115141,0.06517378,0.41532743,0.30021074,0.9264853,0.2750478,0.026601397,0.30173945,0.25523168,0.8125694,0.97847944,0.07719312,0.017334435,0.07656424,0.0021937015,0.88002723,0.16554052,0.19823472
5,0.9325666,0.015503779,0.17480738,0.11702905,0.3608164,0.08667018,0.019298088,0.36961898,0.01431726,0.14381413,0.06885349,0.090152934,0.0025865766,0.20901594,0.0076511754,0.16932863,0.232582,0.08758052,0.019848539,0.27105007,0.25684506,0.81448424,0.08732066,0.0055669066,0.1423896,0.3424437,0.07478713,0.0026395041,0.0012783135,0.0036709704,0.023298705,0.0012340529,0.02340211,0.23152669,0.2403463
6,0.0042806347,0.009001714,0.14712693,0.21937004,0.4110113,0.17516498,0.02121087,0.019283216,0.008797219,0.031664528,0.04788586,0.08255817,0.0018622971,0.19075197,0.003260577,0.00863094,0.68545413,0.61689025,0.030759238,0.27369455,0.2873266,0.020806907,0.07670703,0.0081236325,0.32701626,0.39750418,0.6098596,0.0016338862,0.0011453278,0.0037239462,0.01724626,0.0010362451,0.01909914,0.27492803,0.09071205
7,0.0053796642,0.008992752,0.15536472,0.1953003,0.3718066,0.17876525,0.017608397,0.10641174,0.009837666,0.14271653,0.059444573,0.106706634,0.0014133177,0.14582318,0.006283667,0.00573423,0.052092943,0.94648623,0.033116333,0.26220128,0.3262248,0.009411131,0.12503953,0.010910752,0.27321035,0.44300672,0.30606183,0.080804005,0.9975756,0.9182828,0.017317766,0.0015923482,0.028459689,0.15312305,0.010335417
8,0.016870826,0.30033183,0.32439658,0.19698617,0.49245125,0.10059582,0.02878096,0.0754226,0.24968645,0.08561172,0.09739908,0.5816797,0.0020599912,0.6691026,0.01158389,0.9791773,0.077597484,0.14911723,0.03975936,0.4564047,0.50221395,0.5358348,0.40108728,0.009615228,0.1991098,0.31714278,0.30078134,0.054932736,0.25026658,0.0070678336,0.047536444,0.004387266,0.8695976,0.16655968,0.027200846
9,0.11537116,0.5219133,0.5159972,0.3279137,0.3525078,0.14973542,0.05305443,0.079258785,0.38620842,0.2039611,0.31910434,0.47596475,0.012812056,0.80074656,0.1415332,0.98680913,0.6766968,0.15051988,0.14004101,0.40827426,0.32313067,0.82866293,0.24202666,0.036130972,0.32943776,0.3180364,0.3181524,0.72698987,0.6508484,0.18773896,0.08622698,0.295621,0.79858935,0.17817622,0.13935861
