,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
0,0.05681578,0.9899305,0.4711945,0.3343285,0.32927635,0.6000017,0.25172085,0.8253573,0.028005887,0.56139654,0.16227075,0.12690128,0.00491244,0.5021854,0.63091815,0.81978256,0.79271543,0.17100346,0.07275754,0.33179486,0.31266087,0.72328615,0.089218326,0.063639395,0.24638207,0.32042557,0.6296846,0.0043207663,0.2309285,0.018656187,0.54812104,0.0024470459,0.031661574,0.2130466,0.034007538
1,0.17941314,0.9899003,0.5735566,0.333812,0.37148324,0.26409698,0.07038271,0.4626677,0.15716003,0.10833047,0.12196235,0.4520947,0.0160248,0.79883,0.02005079,0.94895965,0.7214374,0.08573307,0.033811208,0.4239247,0.37468982,0.21031626,0.1427231,0.015095906,0.20938876,0.27405232,0.9202098,0.00860067,0.0014593633,0.0063854707,0.5632006,0.0013735546,0.041740898,0.16332875,0.012112093
2,0.99279046,0.98326564,0.2026104,0.16683291,0.41427797,0.06904853,0.03167317,0.91724557,0.66515976,0.3737481,0.10229873,0.10144544,0.6371999,0.12037608,0.0082810735,0.04683229,0.45547426,0.061372172,0.016866645,0.32686788,0.38544488,0.84165275,0.08348485,0.9388685,0.12895156,0.28622353,0.18892626,0.00318543,0.79815793,0.006344808,0.069684334,0.0013161903,0.024074838,0.1893748,0.8234544
3,0.015309878,0.34078938,0.40087095,0.41768447,0.44990948,0.122187436,0.039169274,0.12680845,0.113085315,0.052542917,0.25363377,0.5710591,0.013000113,0.83337086,0.58375317,0.98944354,0.7088166,0.1344506,0.074772395,0.45162177,0.5675287,0.029859208,0.23472066,0.33882782,0.29815516,0.28516424,0.6375032,0.25586176,0.8952008,0.62070954,0.047970645,0.9859784,0.48228252,0.23284358,0.13012002
4,0.123624235,0.008601013,0.2405143,0.3117059,0.5200753,0.12435441,0.029585313,0.062664784,0.7677644,0.05038036,0.10100429,0.14116082,0.0025269636,0.12852164,0.9892235,0.8779071,0.6933444,0.1400262,0.024170175,0.50367457,0.38137603,0.6568852,0.15789063,0.0077902316,0.18399745,0.26576585,0.23129018,0.00433976,0.020883992,0.1008115,0.5282543,0.008778238,0.6532136,0.15621349,0.022115031
5,0.10994553,0.040444806,0.33606222,0.4372039,0.44966415,0.14301316,0.060144234,0.12535077,0.88138515,0.350307,0.12322401,0.16494869,0.002584834,0.13109776,0.6401208,0.9834984,0.21878903,0.104495734,0.02738872,0.538304,0.49026304,0.4616877,0.24943514,0.023016276,0.19847052,0.24648525,0.39166376,0.006190475,0.92183805,0.09100954,0.76723033,0.965435,0.6338886,0.15898053,0.029607067
6,0.9614401,0.84137887,0.3879362,0.375892,0.37434703,0.13178904,0.6064739,0.7030546,0.461763,0.5132521,0.2043505,0.13172708,0.01718302,0.81546533,0.033187196,0.044040985,0.54129684,0.13949752,0.026493656,0.4769574,0.32247457,0.5109536,0.12121922,0.01073417,0.21899043,0.25561276,0.47531044,0.01751718,0.0052283583,0.018588768,0.8173758,0.005533307,0.14708057,0.19697317,0.040497944
7,0.98404616,0.9836029,0.21371995,0.47909954,0.5824048,0.13639973,0.03207692,0.92208195,0.18550916,0.8573305,0.06543981,0.094707556,0.0864545,0.72916234,0.014150444,0.015564581,0.070563875,0.092252746,0.017978918,0.35556978,0.36614951,0.074975915,0.083988465,0.0065458934,0.15639766,0.29289633,0.12335113,0.0017785159,0.004412951,0.004835665,0.19439852,0.0011359547,0.024499029,0.41960448,0.08952434
8,0.18854326,0.023297781,0.23408835,0.32104433,0.47589716,0.12711813,0.031954084,0.22493255,0.61504483,0.1654785,0.10275372,0.11037705,0.0025271475,0.60068077,0.9306251,0.95688903,0.17021635,0.24156259,0.024988387,0.5561332,0.47298756,0.78778917,0.13575539,0.45367542,0.24709183,0.26346645,0.6218305,0.0036605976,0.9899311,0.9220661,0.86044085,0.43102804,0.44383347,0.14154652,0.063363686
9,0.008180634,0.009653545,0.31954658,0.23625478,0.39342567,0.10610778,0.022763414,0.049667086,0.71676457,0.043204628,0.12797455,0.22674625,0.0027035058,0.825473,0.957491,0.9887157,0.29719,0.22607102,0.046599086,0.52121353,0.35547513,0.22057275,0.1492303,0.016306708,0.23069979,0.2822798,0.5743478,0.0050231586,0.61560476,0.046903446,0.06284931,0.90745723,0.7408435,0.123569,0.016328745
10,0.033414442,0.0305904,0.36211753,0.3024457,0.3943239,0.12173408,0.033403635,0.2585706,0.64268476,0.05935565,0.15299287,0.51944816,0.0026091447,0.88409424,0.9136314,0.9820139,0.5148217,0.1710093,0.047085214,0.5236727,0.38515934,0.15406711,0.15477806,0.031279817,0.29450876,0.29342723,0.8574052,0.0049323863,0.9779328,0.23498939,0.21514791,0.31202936,0.170733,0.13185996,0.032290444
11,0.9704936,0.94659364,0.21124257,0.13031355,0.51208276,0.09897941,0.033191945,0.95886934,0.65048987,0.07467492,0.08593481,0.109596394,0.89571774,0.8325286,0.97981757,0.7830013,0.7794021,0.074172765,0.018153442,0.2633925,0.36239833,0.013036543,0.100417696,0.038941547,0.1262051,0.279026,0.06640257,0.002338806,0.0017233568,0.008509146,0.039383683,0.0013230438,0.020134214,0.17001462,0.26667607
12,0.023229247,0.9825283,0.35132155,0.120056815,0.494682,0.49217567,0.0897981,0.9646461,0.21785916,0.9308953,0.10071411,0.08676263,0.0030286326,0.11128987,0.9482723,0.1256806,0.861274,0.055172507,0.018086633,0.34650478,0.2943293,0.007382317,0.07939785,0.0062125777,0.13365924,0.3193406,0.05876366,0.0020420884,0.002979069,0.0034421675,0.3285229,0.0011213383,0.029400999,0.3809705,0.0068672765
13,0.15356614,0.10724886,0.5272323,0.3339529,0.3896088,0.10459906,0.041254234,0.33024612,0.92746437,0.13528131,0.18122254,0.74839044,0.0042435657,0.8532462,0.9480072,0.969702,0.85804236,0.13756816,0.060049716,0.56475604,0.38469523,0.19626649,0.1571889,0.07860863,0.24896266,0.24558033,0.8581477,0.008867441,0.95681906,0.4247664,0.8232001,0.9902243,0.85332745,0.14764407,0.016981656
14,0.94907737,0.019177571,0.24536417,0.26155716,0.39971352,0.17918879,0.022871567,0.25581786,0.08891809,0.09333789,0.16684426,0.12043782,0.0022809543,0.12342395,0.95588243,0.51924706,0.2489841,0.08978672,0.020825084,0.54469216,0.35543048,0.5179443,0.10800093,0.9577691,0.2141758,0.25931424,0.581597,0.003916514,0.98556817,0.9941472,0.7635764,0.0040619387,0.03365132,0.13782547,0.022273956
15,0.5515965,0.9566874,0.3749841,0.14460336,0.31978777,0.11943574,0.13529338,0.74851185,0.039819792,0.08007702,0.11620145,0.18544118,0.006250197,0.70910096,0.96589667,0.39292094,0.372412,0.118236825,0.027366523,0.43111235,0.27050287,0.6888702,0.104017004,0.23039894,0.2441167,0.28699517,0.52872634,0.0142432535,0.024476977,0.18654843,0.7706577,0.0014418686,0.027854886,0.1278167,0.012212187
16,0.9054487,0.047573395,0.22798564,0.2711932,0.30833575,0.13246995,0.049200803,0.06960493,0.035510108,0.047297496,0.0660541,0.0964478,0.019247081,0.65394837,0.9336185,0.008637372,0.2735759,0.15921797,0.022591056,0.35891378,0.32674935,0.5331426,0.07681423,0.15808053,0.16025794,0.2982298,0.69359547,0.002978549,0.009840579,0.9793251,0.73621005,0.0015523356,0.030120792,0.18710873,0.13372353
17,0.08447579,0.90955704,0.22438511,0.120465256,0.33556807,0.0947037,0.025531735,0.37665805,0.025165303,0.035660457,0.059509143,0.104977064,0.0024404922,0.8514015,0.9174616,0.08983664,0.17424692,0.13245182,0.021244666,0.39956227,0.3392204,0.25699994,0.09393685,0.08456274,0.2007519,0.28667346,0.49485824,0.0028232692,0.008588307,0.65579486,0.110496975,0.0015406992,0.03206428,0.13022484,0.01566496
18,0.015702678,0.009194312,0.2778704,0.2691399,0.3402164,0.10897643,0.18188766,0.04399492,0.021583952,0.07597693,0.10814351,0.09802471,0.003684793,0.760255,0.006698692,0.99326223,0.4942609,0.1329919,0.020681499,0.35650367,0.30123982,0.07741764,0.124609195,0.976374,0.20657243,0.26956964,0.88752645,0.014069461,0.35192502,0.026666144,0.037211467,0.0017924391,0.04753822,0.14764784,0.051442526
19,0.23287909,0.44687402,0.5364199,0.356432,0.38304877,0.15622663,0.3897731,0.18523885,0.6343786,0.16457017,0.17423108,0.7042766,0.011023896,0.7839611,0.96932214,0.9726443,0.804238,0.15641908,0.05561967,0.56538093,0.33593056,0.793348,0.22099814,0.03596204,0.23937774,0.2645677,0.8018299,0.022321226,0.24698475,0.63549596,0.5839158,0.005327478,0.70883054,0.18229555,0.026967214
